state_name,lga_name,pop,pop(10000)
Abia,Aba North,245825,24.5825
Abia,Aba South,380212,38.0212
Abia,Arochukwu,146355,14.6355
Abia,Bende,236493,23.6493
Abia,Ikwuano,153495,15.3495
Abia,Isiala-Ngwa North,231793,23.1793
Abia,Isiala-Ngwa South,267529,26.7529
Abia,Isuikwuato,185896,18.5896
Abia,Obi Nwga,463748,46.3748
Abia,Ohafia,199577,19.9577
Abia,Osisioma Ngwa,558678,55.8678
Abia,Ugwunagbo,86628,8.6628
Abia,Ukwa East,67471,6.7471
Abia,Ukwa West,106843,10.6843
Abia,Umu-Nneochi,220615,22.0615
Abia,Umuahia North,308069,30.8069
Abia,Umuahia South,224345,22.4345
Adamawa,Demsa,150470,15.047
Adamawa,Fufore,239980,23.998
Adamawa,Ganye,192932,19.2932
Adamawa,Girei,181187,18.1187
Adamawa,Gombi,200933,20.0933
Adamawa,Guyuk,136844,13.6844
Adamawa,Hong,231758,23.1758
Adamawa,Jada,197999,19.7999
Adamawa,Lamurde,78434,7.8434
Adamawa,Madagali,128575,12.8575
Adamawa,Maiha,94183,9.4183
Adamawa,Mayo-Belwa,197335,19.7335
Adamawa,Michika,158182,15.8182
Adamawa,Mubi North,180307,18.0307
Adamawa,Mubi South,170740,17.074
Adamawa,Numan,80331,8.0331
Adamawa,Shelleng,121762,12.1762
Adamawa,Song,239863,23.9863
Adamawa,Toungo,49834,4.9834
Adamawa,Yola North,206303,20.6303
Adamawa,Yola South,368752,36.8752
Akwa Ibom,Abak,161657,16.1657
Akwa Ibom,Eastern Obolo,19312,1.9312
Akwa Ibom,Eket,231351,23.1351
Akwa Ibom,Esit Eket,53616,5.3616
Akwa Ibom,Essien Udim,115335,11.5335
Akwa Ibom,Etim Ekpo,91539,9.1539
Akwa Ibom,Etinan,78133,7.8133
Akwa Ibom,Ibeno,44223,4.4223
Akwa Ibom,Ibesikpo Asutan,202049,20.2049
Akwa Ibom,Ibiono Ibom,104323,10.4323
